VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-01-15 22:23:58,2015-01-15 22:28:39,1,.90,-73.953788757324219,40.785171508789062,1,N,-73.946296691894531,40.777305603027344,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2015-01-15 22:23:58,2015-01-15 22:28:55,2,1.00,-73.987998962402344,40.732025146484375,1,N,-73.978256225585937,40.745292663574219,2,6,0.5,0.5,0,0,0.3,7.3
2,2015-01-15 22:21:29,2015-01-15 22:28:26,1,1.39,-73.974700927734375,40.752952575683594,1,N,-73.984977722167969,40.736396789550781,1,7,0.5,0.5,1.5,0,0.3,9.8
2,2015-01-15 22:21:32,2015-01-15 22:28:06,1,1.48,-73.961090087890625,40.780593872070312,1,N,-73.978500366210938,40.772285461425781,1,7.5,0.5,0.5,1.6,0,0.3,10.4
2,2015-01-15 22:22:52,2015-01-15 22:28:50,1,.77,-73.973350524902344,40.763698577880859,1,N,-73.974723815917969,40.756416320800781,2,6,0.5,0.5,0,0,0.3,7.3
1,2015-01-15 22:23:59,2015-01-15 22:28:33,1,1.20,-73.988357543945313,40.774662017822266,1,N,-73.994667053222656,40.760990142822266,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2015-01-15 22:21:33,2015-01-15 22:28:34,1,1.68,-73.984848022460938,40.747028350830078,1,N,-73.987724304199219,40.729373931884766,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2015-01-15 22:21:33,2015-01-15 22:28:31,2,1.54,-73.992134094238281,40.725154876708984,1,N,-73.983184814453125,40.743801116943359,1,7.5,0.5,0.5,1.6,0,0.3,10.4
2,2015-01-15 22:21:34,2015-01-15 22:28:52,2,1.47,-73.987052917480469,40.720684051513672,1,N,-74.005729675292969,40.725677490234375,1,7.5,0.5,0.5,1.6,0,0.3,10.4
2,2015-01-15 22:21:34,2015-01-15 22:28:41,1,1.43,-73.980918884277344,40.763420104980469,1,N,-73.978530883789063,40.7764892578125,2,7,0.5,0.5,0,0,0.3,8.3
2,2015-01-15 22:21:34,2015-01-15 22:28:01,1,2.08,-73.971199035644531,40.755931854248047,1,N,-73.951881408691406,40.781700134277344,1,8,0.5,0.5,1.7,0,0.3,11
